CodMun,UF,Cod UF,Mun,PopMun,Faixa_pop,Regiao,MSEG01,MSEG03,MSEG04,MSEG05,MSEG051,MSEG06,MSEG07,MSEG071a,MSEG071b,MSEG071c,MSEG072,MSEG081,MSEG082,MSEG083,MSEG084,MSEG09,MSEG10,MSEG111,MSEG112,MSEG113,MSEG12,MSEG1211,MSEG1212,MSEG1213,MSEG1214,MSEG1215,MSEG1216,MSEG1217,MSEG1218,MSEG1219,MSEG13,MSEG14,MSEG15,MSEG161,MSEG162,MSEG163,MSEG164,MSEG165,MSEG166,MSEG167,MSEG168,MSEG169,MSEG1610,MSEG1611,MSEG17,MSEG18,MSEG19,MSEG27,MSEG271a,MSEG271b,MSEG281,MSEG282,MSEG283,MSEG291,MSEG292,MSEG293,MSEG294,MSEG295,MSEG296,MSEG301,MSEG302,MSEG303,MSEG311,MSEG312,MSEG313,MSEG314,MSEG315,MSEG316,MSEG317,MSEG318,MSEG319,MSEG3110,MSEG3111,MSEG3112,MSEG3113,MSEG3114,MSEG3115,MSEG3116,MSEG3117,MSEG3118,MSEG3119,MSEG3120,MSEG3121,MSEG3122,MSEG3123,MSEG32,MSEG33,MSEG34,MSEG35,MSEG361,MSEG362,MSEG363,MSEG364,MSEG37,MSEG381,MSEG382,MSEG383,MSEG384,MSEG385,MSEG386,MSEG387,MSEG388,MSEG389,MSEG3810,MSEG3811,MSEG3812,MSEG3813,MSEG3814,MSEG3815,MSEG3816,MSEG3817,MSEG3818,MSEG3819,MSEG3820,MSEG3821,MSEG3822,MSEG3823,MSEG391,MSEG392,MSEG393,MSEG394,MSEG395,MSEG396,MSEG397
1500859,PA,15,Anapu,31850,4 - 20001 até 50000,1 - Norte,Não possui estrutura,-,-,-,-,-,Sim,299,2018,"Foi criado, mas não foi instalado",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1500909,PA,15,Augusto Corrêa,44573,4 - 20001 até 50000,1 - Norte,Setor subordinado diretamente à chefia do Executivo,Masculino,50,Parda,Não,Ensino superior incompleto,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Sim,Não,Sim,1940,2021,19,2,21,-,-,-,-,-,Sim,-,-,Sim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Guarda Municipal,Apenas armas não letais,Não,"Mais de R$1.000,00 a R$3.000,00",Não,Não,Não,Sim,Apenas em livros/formulários impressos (registro manual),Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,-
1500958,PA,15,Aurora do Pará,23774,4 - 20001 até 50000,1 - Norte,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou,Não informou
1501006,PA,15,Aveiro,18290,3 - 10001 até 20000,1 - Norte,Não possui estrutura,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1501105,PA,15,Bagre,31892,4 - 20001 até 50000,1 - Norte,Não possui estrutura,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1501204,PA,15,Baião,51641,5 - 50001 até 100000,1 - Norte,Secretaria municipal exclusiva,Masculino,60,Parda,Sim,Ensino superior incompleto,Sim,1428,2010,Inativo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Sim,Não,Sim,6,2011,28,7,35,Não,Não,Não,Não,Sim,-,-,-,Sim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Guarda Municipal,Nenhum tipo de arma,Não,"Mais de R$1.000,00 a R$3.000,00",Não,Não,Não,Sim,Apenas em livros/formulários impressos (registro manual),Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,-
1501253,PA,15,Bannach,4031,1 - Até 5000,1 - Norte,Setor subordinado a outra secretaria,Masculino,45,Parda,Não,Ensino médio (2º Grau) completo,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1501303,PA,15,Barcarena,126650,6 - 100001 até 500000,1 - Norte,Secretaria municipal em conjunto com outras políticas setoriais,Masculino,74,Parda,Sim,Especialização,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,-,Não,Sim,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1501402,PA,15,Belém,1303403,7 - Maior que 500000,1 - Norte,Secretaria municipal exclusiva,Masculino,54,Parda,Sim,Ensino superior completo,Sim,9917,2023,"Foi criado, mas não foi instalado",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,-,Sim,Sim,Sim,Sim,7346,1986,942,165,1107,Sim,Não,Não,Não,Sim,-,Sim,Não,-,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,-,-,Guarda Municipal,Armas de fogo e não letais,Sim,"Mais de R$3.000,00 a R$5.000,00",Sim,Sim,Não,-,Ambos,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,-
1501451,PA,15,Belterra,18099,3 - 10001 até 20000,1 - Norte,Não possui estrutura,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1501501,PA,15,Benevides,63567,5 - 50001 até 100000,1 - Norte,Secretaria municipal em conjunto com outras políticas setoriais,Masculino,29,Parda,Não,Especialização,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Sim,1118,2013,16,1,17,Sim,Sim,Sim,Não,Não,-,Não,Sim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,Civil,Apenas armas não letais,Não,"Mais de R$1.000,00 a R$3.000,00",Não,Não,Não,Sim,Apenas em livros/formulários impressos (registro manual),Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,-
1501576,PA,15,Bom Jesus do Tocantins,18005,3 - 10001 até 20000,1 - Norte,Setor subordinado diretamente à chefia do Executivo,Masculino,60,Parda,Sim,Ensino fundamental (1º Grau) incompleto,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Sim,362,2011,11,1,12,Não,Sim,Não,Não,Não,-,Sim,Não,-,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,-,-,Policial Civil,Apenas armas não letais,Não,"Mais de R$1.000,00 a R$3.000,00",Não,Não,Não,Sim,Apenas em livros/formulários impressos (registro manual),Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,-
1501600,PA,15,Bonito,12622,3 - 10001 até 20000,1 - Norte,Não possui estrutura,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1501709,PA,15,Bragança,123082,6 - 100001 até 500000,1 - Norte,Secretaria municipal em conjunto com outras políticas setoriais,Masculino,40,Parda,Não,Ensino superior completo,Sim,4764,2022,Ativo,Tem maior representação governamental,Sim,Sim,Sim,Não,2,36,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,-,Sim,Sim,Sim,Sim,3526,2001,48,19,67,Não,Não,Não,Não,Sim,-,Sim,Não,-,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,-,-,Guarda Municipal,Apenas armas não letais,Não,"Mais de R$1.000,00 a R$3.000,00",Não,Não,Não,Sim,Apenas em livros/formulários impressos (registro manual),Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,-
1501725,PA,15,Brasil Novo,24718,4 - 20001 até 50000,1 - Norte,Não possui estrutura,-,-,-,-,-,Sim,352,2023,"Foi criado, mas não foi instalado",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1501758,PA,15,Brejo Grande do Araguaia,6783,2 - 5001 até 10000,1 - Norte,Não possui estrutura,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1501782,PA,15,Breu Branco,45712,4 - 20001 até 50000,1 - Norte,Não possui estrutura,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1501808,PA,15,Breves,106968,6 - 100001 até 500000,1 - Norte,Setor subordinado diretamente à chefia do Executivo,Masculino,60,Branca,Não,Ensino superior incompleto,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,-,Não,Sim,Sim,Sim,2040,2003,59,3,62,Sim,Sim,Não,Não,Sim,-,Não,Sim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,Guarda Municipal,Apenas armas não letais,Sim,"Mais de R$1.000,00 a R$3.000,00",Sim,Sim,Não,-,Apenas em livros/formulários impressos (registro manual),Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,-
1501907,PA,15,Bujaru,24383,4 - 20001 até 50000,1 - Norte,Não possui estrutura,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1501956,PA,15,Cachoeira do Piriá,19630,3 - 10001 até 20000,1 - Norte,Não possui estrutura,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1502004,PA,15,Cachoeira do Arari,23981,4 - 20001 até 50000,1 - Norte,Não possui estrutura,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
